label,text
0,"Stand with survivors and advocates like @nguyen_amanda, @ZerlinaMaxwell, @ruthmglenn, @DavidsonJess22, @Mariska, and so many others. Reauthorize VAWA now."
0,"“Equality of rights under the law shall not be denied or abridged on account of sex.” Another step forward for equality and basic dignity in Delaware tonight, as the Equal Rights Amendment is enshrined in our state’s Constitution."
0,Thrilled to see the 2028 Olympics coming to Los Angeles. Thanks to @MayorOfLA Garcetti who worked hard to secure a big win for US athletics.
0,"Hey everyone, @TeamJoe here. We’re taking over to keep you in the loop on our event in Ottumwa, Iowa. Stay tuned! #TeamJoe"
0,My running mate will be a woman. #DemDebate
0,"The Trump Administration promised 27 million tests by the end of March.As of now, only 4 million have been completed. It’s unacceptable.We can’t safely reopen the economy without scaling up testing, and we can’t effectively scale up testing unless Donald Trump does his job."
0,Behind every COVID-19 death is a family and a community that will never be the same.Behind every unemployment claim is a life thrown into uncertainty — a person wondering how they’ll make ends meet.There is a real human toll to this crisis. We cannot forget that.
0,This moment demands that we choose:Hope over fearUnity over divisionTruth over liesScience over fiction
0,".@DrBiden and I wish everyone celebrating #EidAlAdha hope, faith, and joy. Eid Mubarak!"
0,"243 years ago, a group of rebels in Philadelphia pledged their lives, their fortunes, and their sacred honor to a revolutionary idea, to the self-evident truth that all men — and women — are created equal."
0,Climate change is an existential threat to our future—staying in #ParisAgreement is the best way to protect our children &amp; global leadership
0,"On the debate: “You saw the man I have sat with every day: a man of principle and gumption, a man with a steady hand and a clear vision.”"
0,.@RepCummings is one of the finest people I’ve ever served with. It is despicable for you to attack him and the people of Baltimore this way. Once again you have proved yourself unfit to hold the office. A President is supposed to lift this nation up. Not tear it down.
0,VP Biden on Romney-Ryan: “They don’t tell you what they are for anymore. And they deliberately misrepresent what they say we are for.”
0,Zbigniew Brzezinski's brilliant strategic mind enriched American foreign policy for decades--his distinctive voice will be greatly missed.
0,"If Senator @BernieSanders is the nominee, I will throw my full weight behind his campaign and do everything I can to get him elected. If I am the nominee, I hope he will do the same. Nothing can keep us from being united in the fight to defeat Trump. #DemDebate"
0,"“We’re all better off when everybody is in this deal together, when we’re all working together.”—VP Biden in Sarasota, FL"
0,American history isn’t a fairytale. The battle for the soul of this nation has been a constant push-and-pull for more than 240 years. But it’s a battle we can and will win — together.
0,I’m proud to stand with Uber and Lyft drivers across the country today. Every worker in this country deserves to be treated with dignity and respect.
0,"Congrats &amp; good luck to my former staffer Dr. Tony Allen, incoming Provost of @DelStateUniv! A great fit for a passionate public servant."
0,"Folks, there was only one person on last night’s debate stage who’s fit to serve as Vice President — and her name is @KamalaHarris."
0,Honored to be asked a question at tonight's #EqualityTownHall by my friend Judy Shepard. It was a privilege to work with her to secure the passage of legislation that extended our hate crimes laws to crimes based on sexual orientation and gender identity.
0,"I’m happy to report that Jill and I have tested negative for COVID. Thank you to everyone for your messages of concern. I hope this serves as a reminder: wear a mask, keep social distance, and wash your hands."
0,"Thank you to the governors who are meeting this moment with decisive action, a steady hand, and compassionate leadership. Thank you for stepping up when President Trump has not."
0,"The threat Donald Trump poses to our national security, and to who we are as a country, is so extreme we cannot afford to ignore it.His erratic policies and failures to uphold basic democratic principles have muddied our reputation and our place in the world."
