text,label
"""@noamscheiber: Dow down almost 2000 pts since start of year, but still outperforming Wall Streets investment in Jeb. JEB wants Common Core",1
Failed Presidential Candidate Mitt Romney is having a news conference tomorrow to criticize me. (1/2),1
"3 days.Stay empowered, stay optimistic, stay united.",0
The stakes in this election couldn’t be higher. Donald Trump is wholly unfit to lead this nation — and that has become even clearer in the last few weeks. We have to vote him out of the White House.,0
Ohioans—including servicemembers and vets who served our country—shouldn’t have to endure shameful attempts to restrict their voting rights.,0
.@JebBush just took millions of $s in special interest money to look like a tough guy. Will never work!,1
The worst thing Hillary could do is have her husband campaign for her. Just watch.,1
"If President Trump has his way in the U.S. Supreme Court, long-term complications from COVID-19, like lung scarring and heart damage, will become pre-existing conditions that could result in higher premiums or denied coverage.It’s unconscionable.",0
"I'm looking forward to seeing @MichaelBennet continue the fight to unify our nation, and beat Donald Trump, in the Senate — Coloradans are lucky to have him in their corner.",0
"""@TLCastle: @realDonaldTrump Do you plan on making any campaign stops in West Virginia?"" YES, soon.",1
“There’s nothing bold about turning Medicare into a voucher system.”—VP Biden on the Romney-Ryan plan,0
".@realbobmassi, who does a show called ""Bob Massi Is The Property Man"" on @FoxNews, really knows his stuff--a total pro!",1
"""@Lking2fly: I gotta have @realDonaldTrump in the White House thatd be such a game changer""",1
Does anyone believe there will be less violence in America if Donald Trump is reelected?,0
"Wow, just released that $67 million in negative ads was spent on me. How am I still number one - by a lot?",1
"""@DeplorableCBTP: ""In my mind, #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TVs #DuckDynasty""   Thank you Phil!",1
"As we recognize Juneteenth and the progress we’ve made since slavery, we must also double down on our efforts to root out systemic racism. We have to make sure we’re working to move closer to that more perfect union, to the idea of America that has inspired so many generations.",0
Im going to the BORDER tomorrow. Will be seeing some really brave people. Look forward to a big day!,1
"""@JereeGeeStavich @realDonaldTrump You are blowing everyone else away. Not just ahead, but doubling. Wow.""",1
".@FrankLuntz, your so-called ""focus groups"" are a total joke. Dont come to my office looking for business again. You are a clown!",1
"Will be in Orlando, Florida, this afternoon. 25,000 people expected. This is a movement like our GREAT COUNTRY has never seen before!",1
"""@Ma1973sk: Actually, no @FoxNews, @megynkelly has a sick obsession with Trump. Every day, every show, trashing, negative, hate.",1
".@WSJ is bad at math. The good news is, nobody cares what they say in their editorials anymore, especially me!",1
