label,text
1,"""@WendyJFluga28: DonaldTrump is an emblem of HOPE that the best is yet to come for America! The good Trump name will be proudly displayed"
1,"""@PJAliveguy: No matter what @realDonaldTrump says the media and the republican establishment will attack it. Time for something that works!"
1,"""@2timeslucky:  @DLake66675 @ChateauEmissary @trumpettes16 The more frightening the world is , the more safe we feel with  President Trump"""
1,"""@Jolena3: @realDonaldTrump And we will get it back once we have President Trump! Cant wait!"""
1,"""@ddpick18: @realDonaldTrump @JebBush @hughhewitt I get pissed off every time I see his ads on Fox. Waste of money! Go Trump!""  Many do!"
1,"Just leaving Miami for Houston, Oklahoma and Colorado. Miami crowd was fantastic!"
1,"Highly respected Constitutional law professor Mary Brigid McManamon has just stated, ""Ted Cruz is not eligible to be President."" Big problem"
1,Such a great experience in New Hampshire - amazing people! Will be leaving for a big event in South Carolina today.
1,"""@LinFlies  @califortrump @realDonaldTrump  we love #TrumpForPresident &amp; thankful"""
1,"The pathetic new hit ad against me misrepresents the final line. ""You can tell them to go BLANK themselves"" - was about China, NOT WOMEN!"
1,"Dont ever forget, we will, together, MAKE AMERICA GREAT AGAIN!"
1,.ccolvinj @AP is one of the truly bad reporters---working for an organization that has totally lost its way. Stories are fictional garbage.
1,The hatred that clown @krauthammer has for me is unbelievable  causes him to lie when many others say Trump easily won debate.
1,How come the @TODAYshow &amp; @chucktodd show the new @NBCNews Poll for Hillary vs Bernie but do not show the SAME poll where I am killing Cruz?
1,I look forward to meeting @joniernst today in New Jersey. She has done a great job as Senator of Iowa!
1,"""@CASuperrunner: @cu_mr2ducks @FoxNews @foxnewspolitics  Trump talked about this weeks ago as a possibility .... this is not Rubios idea"""
1,".@seanhannity  Carly, whose campaign is dead, is making false statements about me in order to salvage hope! Sad."
1,"Unlike crooked Hillary Clinton, who wants to destroy all miners, I want wages to go up in America. We will do so by bringing back jobs!"
1,Dont forget to watch The Tonight Show with the wonderful @jimmyfallon at 11:30 P.M. You will not be disappointed!  @NBC
1,"Lying Cruz put out a statement, Trump &amp; Rubio are w/Obama on gay marriage."" Cruz is the worst liar, crazy or very dishonest. Perhaps all 3?"
1,"""@paulfincher2 Keep the faith. Elect @realDonaldTrump and there will be no more sanctuary cities. and very few illegals."""
1,Big speech tonight in South Carolina - 7:00 P.M. Tremendous crowd!
1,"""@meequalsfree: Looking forward to seeing you again! Everett to be a packed house! @realDonaldTrump  @mike_pence"""
1,Despite spending $500k a day on TV ads alone #CrookedHillary falls flat in nationwide @QuinnipiacPoll. Having ZERO impact. Sad!!
1,"""@piersmorgan: Trump won that debate. People can huff &amp; puff all they like but he was the best candidate on the night. #GOPDebate"
1,"""@Crowebar_67:  @megynkelly Been boycotting her since 1st debate Mr. Trump and so have plenty of other decent people. Ratings R going down_"
1,"""@mwood_79:  @SharylAttkisson Why do they attack Mr Trump? Because he has something they dont. The ability of truth! Trump is here!"""
1,"""@NeilForell: Watched the roast of @realDonaldTrump You took those jokes like a champ, what a good sport! Im voting for you now""  Great."
1,Watching @loudobbsnews- fantastic show! Has very interesting take on Paul Ryan.
1,Thank you for the nice words this morning @KellyRiddell. Well delivered and totally logical! @CNN   @FoxNews
1,"We will all have fun and hopefully learn something tonight. I will shoot straight and call it as I see it, both the good and the bad. Enjoy!"
1,"I will bring our jobs back to the U.S., and keep our companies from leaving. Nobody else can do it. Our economy will ""sing"" again."
1,I will be interviewed in a town hall format on @FoxNews with @seanhannity at 10pmE. Enjoy!#MakeAmericaGreatAgain #Trump2016
1,.@jessebwatters- watching your show from Arizona where we just had a big rally. It is fantastic- everybody loves it!#MakeAmericaGreatAgain
1,Will be interviewed tonight by @seanhannity on @FoxNews at 10 PM. Enjoy!
1,"Will be doing @foxandfriends on Sunday at 8:30 A.M.  Later, Face the Nation at 10:30 on @CBSNews"
1,I was at @FoxNews and met Juan Williams in passing.  He asked if he could have pictures taken with me. I said fine. He then trashes on air!
1,"""@kevcirilli: Trump speaking in exact same tone he did in Waterville Valley on 12/1. The night I first realized he was gonna be GOP nominee"""
1,Why did Clinton supporter @AlisonForKY declare Crooked Hillary winner in KY when AP hasnt even called the race?
1,I will be interviewed on @oreillyfactor tonight at 8:00 P.M. Enjoy!
1,"""@YossiGestetner: Whoa! @realDonaldTrump shoots up to 28% in YouGov from 15% two wks ago; outperforms McCain in favorables among Vets. Great"
1,"Just watched @meetthepress and how totally biased against me Chuck Todd, and the entire show, is against me.The good news-the people get it!"
1,"""@burgettn: @AB1132 @realDonaldTrump its the only way we can make America great again."""
1,"""@AshleyEdam: New CBS Poll shows defections from Cruzs core supporters &amp; increased support for @realDonaldTrump ...Not surprising."""
1,RT @MarkHalperin: Utah Speaker of the House announces endorsement of @realDonaldTrump. Says @DonaldJTrumpJr played a big role
1,"""@Mike05999224: @FoxNews @HowardKurtz @MediaBuzzFNC start backing @realDonaldTrump real change is coming !"""
1,"Really dumb @CheriJacobus. Begged my people for a job. Turned her down twice and she went hostile. Major loser, zero credibility!"
1,Lyin Ted Cruz denied that he had anything to do with the G.Q. model photo post of Melania. Thats why we call him Lyin Ted!
1,"Im at Trump Intl Hotel in Las Vegas, tallest/most beautiful building in town. Speaking to another great crowd at Treasure Island (12 noon)"
1,(1/2) Time Magazine has me on the cover this week. David Von Drehle has written one of the best stories I have ever had.
1,Big defeat last night in Nevada for Ted Cruz and Marco Rubio. @KarlRove on @FoxNews is working hard to belittle my victory. Rove is sick!
1,"""@yang_karl: All Scott Pelley did by being disrespectful was make it easier to make up my mind who to vote for and that will be Trump."""
1,RT @seanhannity: .@BoDietl: We should put a pause until we know who the hell is coming into this country. This is getting real scary.۝ #Ha_
1,RT @BarbaraJWalters: Just sat down w/ @realdonaldtrump &amp; Melania. Intv w/ his family #abc2020 Friday. Tonight we talk ISIS @WNTonight https_
1,"""@8723g: One thing I learned from @realDonaldTrump : ""Sometimes the best deals are the deals you never make"" We will have strong deal makers"
1,My opponents big bosses--lobbyists and donors--are trying to do damage. They will fail! Money down the drain!
1,"""@USARestoring: @HillaryClintons toast. Dems had better get the""B Team"" off the bench. @TGowdySC for Attorney General under President Trump"
1,"""@TheMindWave:  @FoxNews Im not sure why u r giving them this much importance, they had wanted to take u down in debate and they failed!!"""
1,"Wages in are country are too low, good jobs are too few,  and people have lost faith in our leaders.We need smart and strong leadership now!"
1,"Many think that the Championship Course at Turnberry, home of The Duel In The Sun, will be the worlds best after the renovation."
1,....that has served our country is put on a waiting list and gets no care.
